threshold,min_area,true_positive,false_positive,false_negative,precision,recall,f1
0.87,1,56521,2872,31463,0.9516441331470038,0.6424008910711039,0.7670260624113668
0.87,2,53676,1056,34308,0.9807059855294892,0.6100654664484452,0.7522071806945263
0.87,3,50276,601,37708,0.988187196572125,0.5714220767412257,0.7241198032564939
0.88,1,56388,2772,31596,0.9531440162271805,0.6408892525913803,0.7664328820747023
0.88,2,53547,1018,34437,0.9813433519655457,0.6085992907801419,0.7512785077411978
0.88,3,50124,587,37860,0.9884246021573229,0.5696944899072559,0.7227946212913227
0.89,1,56297,2697,31687,0.9542834864562498,0.6398549736315694,0.7660602267005947
0.89,2,53445,996,34539,0.9817049650079903,0.6074399890889253,0.7505002632964718
0.89,3,49995,570,37989,0.9887273805992287,0.5682283142389526,0.7216941298746292
0.9,1,56144,2565,31840,0.9563099354443101,0.6381160210947445,0.7654625646758878
0.9,2,53301,948,34683,0.9825250235027374,0.605803327877796,0.7494885153234483
0.9,3,49791,543,38193,0.9892120634163786,0.5659097108565194,0.7199496811694791
0.91,1,55998,2422,31986,0.9585415953440602,0.6364566284779051,0.7649790989317232
0.91,2,53119,897,34865,0.9833938092417062,0.6037347699581742,0.7481549295774648
0.91,3,49578,509,38406,0.9898376824325673,0.5634888161483906,0.7181522549992395
0.92,1,55884,2325,32100,0.9600577230325208,0.6351609383524277,0.764523609201535
0.92,2,52989,858,34995,0.9840659646776979,0.6022572285870158,0.747213232650126
0.92,3,49378,491,38606,0.990154204014518,0.5612156755773777,0.7163862955467055
0.93,1,55675,2170,32309,0.9624859538421644,0.6327855064557192,0.7635655459476509
0.93,2,52700,799,35284,0.9850651414045122,0.5989725404619022,0.7449658262830163
0.93,3,49076,460,38908,0.9907138242894057,0.5577832333151482,0.7137289121582316
0.94,1,55499,2047,32485,0.9644284572342127,0.6307851427532278,0.7627155912870199
0.94,2,52476,766,35508,0.9856128620262199,0.5964266230223677,0.743149278461473
0.94,3,48848,440,39136,0.9910728777795812,0.5551918530641935,0.7116964858091964
0.95,1,55146,1848,32838,0.9675755342667649,0.62677304964539,0.7607499068824236
0.95,2,52110,705,35874,0.9866515194547004,0.592266775777414,0.7402041207679031
0.95,3,48402,384,39582,0.9921288894354938,0.5501227495908347,0.7077867953498576
